,product_name,V,Ah,kw_calc
0,Oben Rorr,,,
1,Tork Kratos,,,
2,Ampere Magnus EX,60,38.25,2.295
3,Bounce Infinity E1,,,
4,Hero Electric Optima,51.2,30,1.536
5,River Indie,,,
6,Matter Aera,,,
7,Ultraviolette F77,,,
8,Simple One,,,
9,Bajaj Chetak,50.4,60.4,3.04416
10,Revolt RV400,,,
11,Ather 450X,,,
12,TVS iQube Electric,,,
13,Ola S1,,,
14,Vida V1,,,
15,Okinawa Okhi90,,,
16,Avon E Scoot,48,20,0.96
17,Kabira Mobility KM 3000,,,
18,Avon E Plus,48,12,0.576
19,Hero Electric Photon,72,20,1.44
20,PURE EV EcoDryft,,,
21,One Electric Motorcycles Kridn,,,
22,Okinawa R30,,,
23,Okinawa iPraise+,,,
24,Hero Electric NYX,48,56,2.688
25,Odysse Electric Evoqis,,,
26,Kinetic Green Zing,60,28,1.68
27,Ampere Primus,,,
28,Kinetic Green Zoom,60,28,1.68
29,Okinawa PraisePro,,,
30,Birla Quanto,,35,
31,Okaya Faast F2T,72,30,2.16
32,Birla E-Smart,,35,
33,Lohia Oma Star,48,20,0.96
34,Evolet Dhanno,,,
35,Komaki Flora,,,
36,Deltic Drixx,60.8,26,1.5808
37,Okinawa Dual 100,48,55,2.64
38,Kabira Mobility KM 4000,,,
39,Komaki XGT KM,,,
40,Rowwet Rame,60,30,1.8
41,Trinity Motors Mitra,48,30,1.44
42,Rowwet Vegatron,72,28,2.016
43,Rowwet Zepop,72,30,2.16
44,Lectrix EV Lectrix LXS,48,40,1.92
45,Aeroride Aero,60,30,1.8
46,Benling Believe,,,
47,Birla Ambition,,35,
48,Atumobile AtumVader,,,
49,Komaki XGT X4,72,31,2.232
50,Tunwal TEM G33,60,20,1.2
51,iVOOMi Eco,60,35,2.1
52,Trinity Motors Rafiki,48,30,1.44
53,Wroley Platina,60,30,1.8
54,BGauss D15,,,
55,Evolet Pony,,,
56,Ola S1 Air,,,
57,Jitendra JET 320,,,
58,Trinity Motors Rafiki ZL3,,,
59,Gemopai Miso,48,17.5,0.84
60,Tunwal Storm ZX Advance 1,60,26,1.56
61,EVeium COSMO,72,30,2.16
62,BGauss B8,,,
63,EVeium COMET,72,50,3.6
64,Trinity Motors Yaarii,48,30,1.44
65,Ozotec Flio,,,
66,Joy e-bike Monster,72,23,1.656
67,Srivaru Motors Prana,,,
68,Hayasa Ojas,,,
69,Tunwal Storm ZX,60,26,1.56
70,Fidato Evtech 21,72,30,2.16
71,Hayasa Ira,,,
72,Tunwal Sport 63 Mini,48,26,1.248
73,Detel EV Easy Plus,,20,
74,Hayasa Daksha,,,
75,Trinity Motors Friend,,,
76,Tunwal Mini Lithino,48,26,1.248
77,GT One Plus,60,26,1.56
78,Fidato Evtech Future 2020,60,28,1.68
79,GT Flying,60,26,1.56
80,Birla A 1-4,,105,
81,Komaki DT 3000,72,46,3.312
82,GT Prime,60,26,1.56
83,AMO Electric Inspirer,60,34,2.04
84,NIJ Automotive  Flion,,,
85,Kabira Mobility Kollegio Plus,60,35,2.1
86,Aeroride E-Spark,60,30,1.8
87,AMO Electric Jaunty Plus,60,40,2.4
88,Li-ions Elektrik Solutions Li-ions Spock Electric Scooter,72,40,2.88
89,GT Soul,60,26,1.56
90,AMO Electric Jaunty,60,34,2.04
91,Rowwet Trono,72,40,2.88
92,Komaki XGT Classic,,,
93,Thunderbolt EZ,60,25,1.5
94,Kabira Mobility Kollegio,48,24,1.152
95,Raftaar Bumblebee,64,30,1.92
96,Zelio Eeva,60,40,2.4
97,Poise Grace,60,42,2.52
98,Odysse Electric Racer,72,28,2.016
99,NDS ECO MOTORS Lio Plus,72,21,1.512
100,Numeros Motors Diplos,,,
101,iVOOMi S1,60,35,2.1
102,Rowwet Eleq,72,30,2.16
103,Velev Motors VIO,48,20,0.96
104,Komaki LY,62,34,2.108
105,Merico Fashia,,,
106,Benling Aura,72,40,2.88
107,Kabira Mobility Aetos 100,60,35,2.1
108,Thunderbolt Bee Plus,,,
109,Avon E Mate,48,20,0.96
110,EVeium CZAR,72,42,3.024
111,Deltic Trento,72,36,2.592
112,Stella Automobili BUZZ,,,
113,Raftaar Galaxy,64,30,1.92
114,Tunwal Elektrika 60,60,26,1.56
115,Avon E Star,48,33,1.584
116,Hayasa Nirbhar,,,
117,DAO 703,60,30,1.8
118,RBSeVA Legend,60,30,1.8
119,Shema Tuff,48,25,1.2
120,Birla DMS,,105,
121,Trinity Motors Saathi,48,30,1.44
122,Shema Fly,48,25,1.2
123,DAO Zor 405,60,20,1.2
124,iGowise Mobility iGowise BeiGo X4,,,
125,M2GO X1,60,26,1.56
126,Odysse Electric E2Go,60,28,1.68
127,GT One,60,26,1.56
128,Joy e-bike Wolf,60,23,1.38
129,Benling Kriti,48,28,1.344
130,Okaya Faast F2B,72,30,2.16
131,Kabira Mobility Intercity Aeolus,60,35,2.1
132,Ujaas eGo LA,60,26,1.56
133,RBSeVA Rider New,60,24,1.44
134,Fidato Evtech EasyGo Plus,60,30,1.8
135,Shema Zoom,48,25,1.2
136,EeVe Atreo,72,27,1.944
137,EeVe Ahava,60,27,1.62
138,Stella Automobili SA 2000,,,
139,Birla DMG,,105,
140,Velev Motors VEV 01,48,24,1.152
141,SUPER ECO Super Eco T1,60,21,1.26
142,Omega Seiki Mobility Omega Sharq,60,29,1.74
143,One Moto Commuta,60,27.5,1.65
144,Shema Eagle,51.2,31.2,1.59744
145,Birla JF,,105,
146,Earth Energy EV Evolve Z,,96,
147,Cyborg Bob-e,,,
148,Hero Electric Atria,51.2,30,1.536
149,Jitendra JMT 1000 3K,,,
150,Crayon Zeez,,,
151,Prevail Electric Elite,,,
152,Birla XL,,,
153,BattRE Electric gps:ie,48,24,1.152
154,Benling Falcon,60,30,1.8
155,Ujaas eGo Li,60,26,1.56
156,GT Drive Plus,60,42,2.52
157,BattRE Electric Storie,,,
158,Gemopai Ryder,48,40,1.92
159,Viertric Mist,48,26,1.248
160,Okaya Faast F2F,60,36,2.16
161,Birla Electro,,35,
162,Birla V6,,105,
163,Komaki XGT CAT 2.0,72,31,2.232
164,Deltic Legion,60.8,30,1.824
165,Thunderbolt Electra,,,
166,Gemopai Ryder SuperMax,60,30,1.8
167,Greta Electric Greta Harper ZX Series-I,,,
168,Evolet Polo,,,
169,Ola S1 Pro,,,
170,Okaya Freedum,,,
171,Ampere Zeal EX,,,
172,GRP EV 11 Mini,60,25,1.5
173,Birla Spark,,35,
174,GRP EV 11 Maxx,60,32,1.92
175,Stella Automobili SA 1000,,,
176,Fidato Evtech Loder,,,
177,Hero Electric Eddy,51.2,30,1.536
178,Zelio Gracy i,60,40,2.4
179,Zelio Gracy,60,40,2.4
180,Joy e-bike Gen Next Nanu Plus,60,36.4,2.184
181,Joy e-bike Wolf Plus,60,35.4,2.124
182,Kabira Hermes 75,60,40,2.4
183,GRP EV 11 Pro,60,32,1.92
184,Kabira Mobility Kollegio Neo,48,24,1.152
